[opt] evaluating low-fidelity baseline candidate
[sim] emission 1/96 (count=  1.0%, route=  0.0%) time=2026-02-09T18:00:00+00:00 elapsed=   0.00m eta=  15.83m | aircraft lat=+44.8848 lon= -93.2223 alt=16500.0m ( 54133.9ft) speed= 367.5m/s ( 714.4kt) mach=1.08 eff_mach=1.188 | mode=takeoff_climb | atmo T=214.90K RH=  1.1% p=  95.52hPa c=293.88m/s w_proj=+15.55m/s c_eff=309.42m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.00m | rays=8 ground_hits=0 (  0.0%) avg_pts=  95.1 cutoff=yes terminal_alt=[32240.4,32704.5]m
[sim] emission 2/96 (count=  2.1%, route=  0.4%) time=2026-02-09T18:00:10+00:00 elapsed=   0.17m eta=  15.67m | aircraft lat=+44.8731 lon= -93.1788 alt=16500.0m ( 54134.0ft) speed= 348.7m/s ( 677.9kt) mach=1.02 eff_mach=1.127 | mode=takeoff_climb | atmo T=214.86K RH=  1.1% p=  95.53hPa c=293.85m/s w_proj=+15.65m/s c_eff=309.50m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.17m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.9 cutoff=yes terminal_alt=[32272.5,32705.2]m
[sim] emission 3/96 (count=  3.1%, route=  0.9%) time=2026-02-09T18:00:20+00:00 elapsed=   0.33m eta=  15.50m | aircraft lat=+44.8613 lon= -93.1350 alt=16500.1m ( 54134.2ft) speed= 356.0m/s ( 692.0kt) mach=1.05 eff_mach=1.150 | mode=takeoff_climb | atmo T=214.81K RH=  1.1% p=  95.53hPa c=293.81m/s w_proj=+15.64m/s c_eff=309.46m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.33m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.0 cutoff=yes terminal_alt=[32143.3,32677.4]m
[sim] emission 4/96 (count=  4.2%, route=  1.3%) time=2026-02-09T18:00:30+00:00 elapsed=   0.50m eta=  15.33m | aircraft lat=+44.8496 lon= -93.0915 alt=16500.1m ( 54134.3ft) speed= 353.2m/s ( 686.5kt) mach=1.04 eff_mach=1.141 | mode=takeoff_climb | atmo T=214.81K RH=  1.1% p=  95.53hPa c=293.81m/s w_proj=+15.64m/s c_eff=309.46m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.50m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.2 cutoff=yes terminal_alt=[32264.3,32586.7]m
[sim] emission 5/96 (count=  5.2%, route=  1.7%) time=2026-02-09T18:00:40+00:00 elapsed=   0.67m eta=  15.17m | aircraft lat=+44.8379 lon= -93.0478 alt=16500.2m ( 54134.4ft) speed= 354.3m/s ( 688.6kt) mach=1.04 eff_mach=1.145 | mode=takeoff_climb | atmo T=214.77K RH=  1.1% p=  95.53hPa c=293.79m/s w_proj=+15.68m/s c_eff=309.47m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.67m | rays=8 ground_hits=0 (  0.0%) avg_pts=  93.1 cutoff=yes terminal_alt=[32253.4,32704.9]m
[sim] emission 6/96 (count=  6.2%, route=  2.2%) time=2026-02-09T18:00:50+00:00 elapsed=   0.83m eta=  15.00m | aircraft lat=+44.8262 lon= -93.0042 alt=16500.2m ( 54134.5ft) speed= 353.8m/s ( 687.8kt) mach=1.04 eff_mach=1.143 | mode=takeoff_climb | atmo T=214.72K RH=  1.1% p=  95.53hPa c=293.75m/s w_proj=+15.73m/s c_eff=309.48m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.83m | rays=8 ground_hits=0 (  0.0%) avg_pts=  93.2 cutoff=yes terminal_alt=[32327.1,32627.6]m
[sim] emission 7/96 (count=  7.3%, route=  2.6%) time=2026-02-09T18:01:00+00:00 elapsed=   1.00m eta=  14.83m | aircraft lat=+44.8144 lon= -92.9606 alt=16500.2m ( 54134.5ft) speed= 354.0m/s ( 688.1kt) mach=1.04 eff_mach=1.144 | mode=takeoff_climb | atmo T=214.72K RH=  1.1% p=  95.52hPa c=293.75m/s w_proj=+15.77m/s c_eff=309.52m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.00m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.6 cutoff=yes terminal_alt=[32271.0,32660.7]m
[sim] emission 8/96 (count=  8.3%, route=  3.0%) time=2026-02-09T18:01:10+00:00 elapsed=   1.17m eta=  14.67m | aircraft lat=+44.8027 lon= -92.9170 alt=16500.2m ( 54134.6ft) speed= 354.0m/s ( 688.1kt) mach=1.04 eff_mach=1.144 | mode=takeoff_climb | atmo T=214.65K RH=  1.1% p=  95.51hPa c=293.70m/s w_proj=+15.81m/s c_eff=309.51m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.17m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.8 cutoff=yes terminal_alt=[32402.8,32694.6]m
[sim] emission 9/96 (count=  9.4%, route=  3.5%) time=2026-02-09T18:01:20+00:00 elapsed=   1.33m eta=  14.50m | aircraft lat=+44.7910 lon= -92.8734 alt=16500.2m ( 54134.7ft) speed= 354.0m/s ( 688.1kt) mach=1.04 eff_mach=1.144 | mode=takeoff_climb | atmo T=214.65K RH=  1.1% p=  95.51hPa c=293.70m/s w_proj=+15.81m/s c_eff=309.51m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.33m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.8 cutoff=yes terminal_alt=[32208.3,32684.5]m
[sim] emission 10/96 (count= 10.4%, route=  3.9%) time=2026-02-09T18:01:30+00:00 elapsed=   1.50m eta=  14.33m | aircraft lat=+44.7792 lon= -92.8298 alt=16500.3m ( 54134.7ft) speed= 354.0m/s ( 688.1kt) mach=1.04 eff_mach=1.144 | mode=takeoff_climb | atmo T=214.52K RH=  1.1% p=  95.50hPa c=293.62m/s w_proj=+15.86m/s c_eff=309.48m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.50m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.0 cutoff=yes terminal_alt=[32162.2,32728.2]m
[sim] emission 11/96 (count= 11.5%, route=  4.3%) time=2026-02-09T18:01:40+00:00 elapsed=   1.67m eta=  14.17m | aircraft lat=+44.7674 lon= -92.7862 alt=16490.5m ( 54102.8ft) speed= 354.0m/s ( 688.0kt) mach=1.04 eff_mach=1.143 | mode=enroute | atmo T=214.51K RH=  1.1% p=  95.62hPa c=293.61m/s w_proj=+15.94m/s c_eff=309.55m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.67m | rays=8 ground_hits=0 (  0.0%) avg_pts=  90.6 cutoff=yes terminal_alt=[32250.2,32734.2]m
[sim] emission 12/96 (count= 12.5%, route=  4.8%) time=2026-02-09T18:01:50+00:00 elapsed=   1.83m eta=  14.00m | aircraft lat=+44.7557 lon= -92.7427 alt=16473.9m ( 54048.3ft) speed= 354.0m/s ( 688.1kt) mach=1.04 eff_mach=1.143 | mode=enroute | atmo T=214.51K RH=  1.1% p=  95.85hPa c=293.61m/s w_proj=+15.99m/s c_eff=309.60m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.83m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.2 cutoff=yes terminal_alt=[32234.3,32622.2]m
[sim] emission 13/96 (count= 13.5%, route=  5.2%) time=2026-02-09T18:02:00+00:00 elapsed=   2.00m eta=  13.83m | aircraft lat=+44.7439 lon= -92.6991 alt=16461.0m ( 54005.8ft) speed= 354.0m/s ( 688.1kt) mach=1.04 eff_mach=1.143 | mode=enroute | atmo T=214.40K RH=  1.1% p=  96.02hPa c=293.53m/s w_proj=+16.08m/s c_eff=309.61m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.00m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.6 cutoff=yes terminal_alt=[32280.1,32634.1]m
